Reference:  277 apertures in PRDOPSSOC-M-024
Comparison: 277 apertures in pre_delivery

Number of modified apertures 277. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
MIRIFU_1BSLICE13                YIdlVert2               -0.1633               -0.1528        0.010500     6.4299
MIRIFU_1BSLICE13                YIdlVert3               -0.3394               -0.3289        0.010500     3.0937
MIRIFU_1BSLICE13                YIdlVert4                0.1696                0.1613        0.008300     4.8939

MIRIFU_1BSLICE14                XIdlVert1                1.7135                1.6574        0.056100     3.2740
MIRIFU_1BSLICE14                XIdlVert2               -1.7084               -1.6124        0.096000     5.6193
MIRIFU_1BSLICE14                XIdlVert3               -1.6835               -1.5875        0.096000     5.7024
MIRIFU_1BSLICE14                XIdlVert4                1.7397                1.6836        0.056100     3.2247
MIRIFU_1BSLICE14                YIdlVert1                0.3423                 0.334        0.008300     2.4248
MIRIFU_1BSLICE14                YIdlVert2               -0.1627               -0.1485        0.014200     8.7277
MIRIFU_1BSLICE14                YIdlVert3               -0.3388               -0.3246        0.014200     4.1913
MIRIFU_1BSLICE14                YIdlVert4                0.1681                0.1598        0.008300     4.9375

MIRIFU_1BSLICE15                XIdlVert1                1.7145                1.6329        0.081600     4.7594
MIRIFU_1BSLICE15                XIdlVert2               -1.7447               -1.6485        0.096200     5.5138
