Reference:  206 apertures in PRDOPSSOC-029
Comparison: 206 apertures in new pre-delivery

Number of modified apertures 206. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_TAGRISMTS32_F405N        Idl2SciX54  -6.0533083768275e-11 -6.053301632755209e-11        0.000000     0.0001
NRCA5_TAGRISMTS32_F405N        Idl2SciX55 -1.205125840816209e-12 -1.204676437800204e-12        0.000000     0.0373
NRCA5_TAGRISMTS32_F405N        Idl2SciY00 -0.0004767149712279206 -0.0004830639295505534        0.000006     1.3143
NRCA5_TAGRISMTS32_F405N        Idl2SciY10    0.0557623620597915   0.05578718738206956        0.000025     0.0445
NRCA5_TAGRISMTS32_F405N        Idl2SciY11     15.58276135451385     15.58298119017254        0.000220     0.0014
NRCA5_TAGRISMTS32_F405N        Idl2SciY20 -0.0008481252677852689 -0.0008484392148261814        0.000000     0.0370
NRCA5_TAGRISMTS32_F405N        Idl2SciY21 -0.001062736245148861 -0.001063062900118751        0.000000     0.0307
NRCA5_TAGRISMTS32_F405N        Idl2SciY22   0.00279032621602296  0.002789371697688722        0.000001     0.0342
NRCA5_TAGRISMTS32_F405N        Idl2SciY30 2.674580033788633e-07  2.67744150466109e-07        0.000000     0.1069
NRCA5_TAGRISMTS32_F405N        Idl2SciY31 -7.362980523084402e-06 -7.361491733693606e-06        0.000000     0.0202
NRCA5_TAGRISMTS32_F405N        Idl2SciY32 -1.691702559018206e-08 -1.613416319405992e-08        0.000000     4.6277
NRCA5_TAGRISMTS32_F405N        Idl2SciY33 -7.226668254443956e-06 -7.224263841943898e-06        0.000000     0.0333
NRCA5_TAGRISMTS32_F405N        Idl2SciY40   3.9051260067268e-09  3.90219888438991e-09        0.000000     0.0750
NRCA5_TAGRISMTS32_F405N        Idl2SciY41 -1.378432438498743e-09 -1.385381684122605e-09        0.000000     0.5016
NRCA5_TAGRISMTS32_F405N        Idl2SciY42 1.805446941770238e-08 1.803806104973346e-08        0.000000     0.0909
NRCA5_TAGRISMTS32_F405N        Idl2SciY43 -7.102833781390929e-10 -7.173737370261837e-10        0.000000     0.9884
NRCA5_TAGRISMTS32_F405N        Idl2SciY44 1.365380565355702e-08 1.364126538687925e-08        0.000000     0.0918
NRCA5_TAGRISMTS32_F405N        Idl2SciY50 -9.90748294935694e-13 -9.912149018769895e-13        0.000000     0.0471
NRCA5_TAGRISMTS32_F405N        Idl2SciY51 -6.285032594167316e-11 -6.28503940096949e-11        0.000000     0.0001
NRCA5_TAGRISMTS32_F405N        Idl2SciY52 -7.061324069388637e-12 -7.06211377025585e-12        0.000000     0.0112
NRCA5_TAGRISMTS32_F405N        Idl2SciY54 -6.112437956346497e-12 -6.112739582318588e-12        0.000000     0.0049

NRCA3_FP1                         XDetRef                1588.0                1587.5        0.500000     0.0315
NRCA3_FP1                         YDetRef                1411.0                1410.5        0.500000     0.0354
NRCA3_FP1                         XSciRef                 461.0                 461.5        0.500000     0.1083
NRCA3_FP1                         YSciRef                1411.0                1410.5        0.500000     0.0354
NRCA3_FP1                       XSciScale             0.0311433            0.03114344        0.000000     0.0004
NRCA3_FP1                       YSciScale            0.03130673             0.0313069        0.000000     0.0005
NRCA3_FP1                           V2Ref             69.510914             69.495319        0.015595     0.0224
