Reference:  189 apertures in PRDOPSSOC-H-015
Comparison: 189 apertures in new pre-delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA4_FULL_OSS                 Idl2SciY32 -2.73774444360402e-06 -2.752113875138337e-06        0.000000     0.5221
NRCA4_FULL_OSS                 Idl2SciY33  1.07903756984942e-05 1.078605151703829e-05        0.000000     0.0401
NRCA4_FULL_OSS                 Idl2SciY40  4.89198182426745e-09 4.921305194342231e-09        0.000000     0.5958
NRCA4_FULL_OSS                 Idl2SciY41 -1.85760081180266e-08 -1.865212771758886e-08        0.000000     0.4081
NRCA4_FULL_OSS                 Idl2SciY42  3.39730909885496e-08 3.397313771194988e-08        0.000000     0.0001
NRCA4_FULL_OSS                 Idl2SciY43 -1.85919476632038e-08 -1.865596103357697e-08        0.000000     0.3431
NRCA4_FULL_OSS                 Idl2SciY44  2.71599285596322e-08 2.713058961509061e-08        0.000000     0.1080
NRCA4_FULL_OSS                 Idl2SciY50 -2.36406572544122e-12 -2.591403621942272e-12        0.000000     8.7728
NRCA4_FULL_OSS                 Idl2SciY51  1.44302874683343e-10 1.443191606800384e-10        0.000000     0.0113
NRCA4_FULL_OSS                 Idl2SciY52 -1.11549516288125e-11 -1.157182523886043e-11        0.000000     3.6025
NRCA4_FULL_OSS                 Idl2SciY53  2.80624338868375e-10 2.806222009990798e-10        0.000000     0.0008
NRCA4_FULL_OSS                 Idl2SciY54 -8.09503340119758e-12 -8.271502115582303e-12        0.000000     2.1335
NRCA4_FULL_OSS                 Idl2SciY55  1.34659755243589e-10 1.346468638636243e-10        0.000000     0.0096

NRCA5_FULL_OSS                V3IdlYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_FULL_OSS                V3SciYAngle             -0.073851           -0.07385127        0.000000     0.0004
NRCA5_FULL_OSS                  XIdlVert1              -65.2747              -65.3021        0.027400     0.0420
NRCA5_FULL_OSS                  XIdlVert2               65.2143               65.2431        0.028800     0.0441
NRCA5_FULL_OSS                  XIdlVert3               63.7079               63.7207        0.012800     0.0201
NRCA5_FULL_OSS                  XIdlVert4              -63.7424              -63.7587        0.016300     0.0256
NRCA5_FULL_OSS                  YIdlVert1              -65.2506              -65.2747        0.024100     0.0369
NRCA5_FULL_OSS                  YIdlVert2              -64.5691              -64.5911        0.022000     0.0341
NRCA5_FULL_OSS                  YIdlVert3                64.529               64.5459        0.016900     0.0262
NRCA5_FULL_OSS                  YIdlVert4               64.8069               64.8313        0.024400     0.0376
NRCA5_FULL_OSS                 Idl2SciX11     0.020880389868429 -1.072121003654197e-05        0.020891   100.0513
NRCA5_FULL_OSS                 Idl2SciX20  0.000478868352106694 0.0004827156577026942        0.000004     0.7970
NRCA5_FULL_OSS                 Idl2SciX21   0.00293477821727052  0.002932499409606819        0.000002     0.0776
NRCA5_FULL_OSS                 Idl2SciX22 -0.000386099990519231 -0.0003899472961152243        0.000004     0.9866
