Reference:  202 apertures in PRDOPSSOC-M-026
Comparison: 202 apertures in new pre-delivery

Number of modified apertures 202. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_MASK335R                 Idl2SciX32 -6.688968026225828e-06 -6.699724260635153e-06        0.000000     0.1605
NRCA5_MASK335R                 Idl2SciX33 4.249699490596959e-07  4.23038033000943e-07        0.000000     0.4546
NRCA5_MASK335R                 Idl2SciX40   7.5125860084074e-09 7.415571307724134e-09        0.000000     1.2914
NRCA5_MASK335R                 Idl2SciX41 -1.299790339054559e-08 -1.310561959650346e-08        0.000000     0.8219
NRCA5_MASK335R                 Idl2SciX42 8.142827179918257e-09 8.019857521073033e-09        0.000000     1.5102
NRCA5_MASK335R                 Idl2SciX43 -1.289229419254828e-08 -1.299642753151216e-08        0.000000     0.8012
NRCA5_MASK335R                 Idl2SciX44 9.913037501332338e-10 9.707636041360232e-10        0.000000     2.0720
NRCA5_MASK335R                 Idl2SciX50 -5.997996835405038e-11 -5.998045373201366e-11        0.000000     0.0008
NRCA5_MASK335R                 Idl2SciX51 -6.416897806844936e-12 -6.412590451680308e-12        0.000000     0.0671
NRCA5_MASK335R                 Idl2SciX52 -1.214876630603434e-10 -1.214874840581708e-10        0.000000     0.0001
NRCA5_MASK335R                 Idl2SciX53 -7.769055079230138e-12 -7.759803518195334e-12        0.000000     0.1191
NRCA5_MASK335R                 Idl2SciX54 -6.054891492148937e-11 -6.054823512613526e-11        0.000000     0.0011
NRCA5_MASK335R                 Idl2SciX55 -1.311230468809641e-12 -1.306649000965466e-12        0.000000     0.3494
NRCA5_MASK335R                 Idl2SciY00   0.01736423513216323   0.01771537732588513        0.000351     1.9821
NRCA5_MASK335R                 Idl2SciY10   0.03258169619828222   0.03259364832950157        0.000012     0.0367
NRCA5_MASK335R                 Idl2SciY11     15.97909286025881     15.97964435571399        0.000551     0.0035
NRCA5_MASK335R                 Idl2SciY20 -0.001536464379539053 -0.001539177317228232        0.000003     0.1763
NRCA5_MASK335R                 Idl2SciY21 -0.0005866912391642684 -0.0005904515017751666        0.000004     0.6368
NRCA5_MASK335R                 Idl2SciY22 0.0009119866344282467 0.0009033128448818495        0.000009     0.9511
NRCA5_MASK335R                 Idl2SciY30 3.970382303868839e-07 3.964100950300998e-07        0.000000     0.1582
