# NIRCam grism parameter definition file for SIAF
# 
# This file contains the grism parameters.
# 
# Generated 2021-03-24T19:11:51.911 utc
# by gennaro
# 
              aperture_name ,   X1 ,   X2 ,   X3 ,   X4 ,   Y1 ,   Y2 ,   Y3 ,   Y4 ,     DX1 ,     DX2 ,     DX3 ,     DX4 ,     DY1 ,     DY2 ,     DY3 ,     DY4
 NRCA5_GRISMC_WFSS_F410M_CS ,    5 ,    5 , 2044 , 2044 ,  126 , 1613 , 1613 ,  126 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -898.5 ,   588.5 ,   588.5 ,  -898.5
 NRCB5_GRISMC_WFSS_F410M_CS ,    5 ,    5 , 2044 , 2044 ,  126 , 1613 , 1613 ,  126 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   898.5 ,  -588.5 ,  -588.5 ,   898.5
 NRCA5_GRISMC_WFSS_F430M_CS ,    5 ,    5 , 2044 , 2044 , -194 , 1552 , 1552 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,   527.5 ,   527.5 , -1218.5
 NRCB5_GRISMC_WFSS_F430M_CS ,    5 ,    5 , 2044 , 2044 , -198 , 1552 , 1552 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 ,  -527.5 ,  -527.5 ,  1222.5
 NRCA5_GRISMC_WFSS_F444W_CS ,    5 ,    5 , 2044 , 2044 ,  102 ,  898 ,  898 ,  102 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -922.5 ,  -126.5 ,  -126.5 ,  -922.5
 NRCB5_GRISMC_WFSS_F444W_CS ,    5 ,    5 , 2044 , 2044 ,  102 ,  898 ,  898 ,  102 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   922.5 ,   126.5 ,   126.5 ,   922.5
 NRCA5_GRISMC_WFSS_F460M_CS ,    5 ,    5 , 2044 , 2044 , -194 , 1192 , 1192 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,   167.5 ,   167.5 , -1218.5
 NRCB5_GRISMC_WFSS_F460M_CS ,    5 ,    5 , 2044 , 2044 , -198 , 1192 , 1192 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 ,  -167.5 ,  -167.5 ,  1222.5
 NRCA5_GRISMC_WFSS_F480M_CS ,    5 ,    5 , 2044 , 2044 , -194 ,  933 ,  933 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,   -91.5 ,   -91.5 , -1218.5
 NRCB5_GRISMC_WFSS_F480M_CS ,    5 ,    5 , 2044 , 2044 , -198 ,  933 ,  933 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 ,    91.5 ,    91.5 ,  1222.5
 NRCA5_GRISMR_WFSS_F250M_PS ,  725 ,  725 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,  -299.5 ,  -299.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F250M_PS ,  717 ,  717 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,  -307.5 ,  -307.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F277W_PS , 1293 , 1293 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,   268.5 ,   268.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F277W_PS , 1285 , 1285 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,   260.5 ,   260.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F300M_PS , 1318 , 1318 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,   293.5 ,   293.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F300M_PS , 1310 , 1310 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,   285.5 ,   285.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
NRCA5_GRISMR_WFSS_F322W2_PS , 2178 , 2178 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
NRCB5_GRISMR_WFSS_F322W2_PS , 2164 , 2164 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F335M_PS , 1718 , 1718 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,   693.5 ,   693.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F335M_PS , 1710 , 1710 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,   685.5 ,   685.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
